SPCD,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,SPECIES_SYMBOL
6827,pua kala,Cyanea,solenocalyx,,,CYSO2
6828,cyanea,Cyanea,spp.,,,CYANE
6829,Kaiholena cyanea,Cyanea,stictophylla,,,CYST5
6830,Mt. Kaala cyanea,Cyanea,superba,,,CYSU8
6833,aku aku,Cyanea,tritomantha,,,CYTR6
6834,parrotfeather treefern,Cyathea,andina,,,CYAN
6835,West Indian treefern,Cyathea,arborea,,,CYAR
6837,Coopers cyathea,Cyathea,cooperi,,,CYCO18
6838,olioli,Cyathea,decurrens,,,CYDE16
6839,Jamaican treefern,Cyathea,furfuracea,,,CYFU
6840,olioli,Cyathea,lunulata,,,CYLU5
6841,olioli,Cyathea,medullaris,,,CYME12
6842,kattar,Cyathea,nigricans,,,CYNI7
6843,small treefern,Cyathea,parvula,,,CYPA7
6844,kattar,Cyathea,ponapeana,,,CYPO11
6847,treefern,Cyathea,spp.,,,CYATH
6848,helecho gigante,Cyathea,tenera,,,CYTE10
6849,olioli,Cyathea,truncata,,,CYTR11
6850,Cybianthus sintenisii,Cybianthus,sintenisii,,,CYSI
6852,queen sago,Cycas,circinalis,,,CYCI3
6853,remiang,Cycas,revoluta,,,CYRE11
6854,Cycas,Cycas,spp.,,,CYCAS
6855,ola,Cyclophyllum,barbatum,,,CYBA7
5818,quince,Cydonia,oblonga,,,CYOB2
6857,oreganillo falso,Cynometra,portoricensis,,,CYPO2
6858,gulos,Cynometra,ramiflora,,,CYRA8
6859,eeme,Cynometra,yokotae,,,CYYO
6860,tree-tomato,Cyphomandra,betacea,,,CYBE3
6862,swamp titi,Cyrilla,racemiflora,,,CYRA
6865,forest cyrtandra,Cyrtandra,giffardii,,,CYGI3
6863,cyrtandra,Cyrtandra,pulchella,,,CYPU13
6864,Cyrtandra,Cyrtandra,ramosissima,,,CYRA3
6866,cyrtandra,Cyrtandra,spp.,,,CYRTA
6867,candletree,Dacryodes,excelsa,,,DAEX
6868,Dalbergia retusa,Dalbergia,retusa,,,DARE6
6869,Indian rosewood,Dalbergia,sissoo,,,DASI
6870,cocobolo,Dalbergia,tucurensis,,,DATU
6871,burn nose,Daphnopsis,americana,,,DAAM2
6872,Heller's cieneguillo,Daphnopsis,helleriana,,,DAHE2
6873,emajagua de sierra,Daphnopsis,philippiana,,,DAPH
6875,Hawaii delissea,Delissea,fallax,,,DEFA
6876,cutleaf delissea,Delissea,laciniata,,,DELA4
6877,Niihau delissea,Delissea,niihauensis,,,DENI
6880,smallflower delissea,Delissea,parviflora,,,DEPA9
6881,delissea,Delissea,spp.,,,DELIS
6882,leechleaf delissea,Delissea,undulata,,,DEUN2
6883,royal poinciana,Delonix,regia,,,DERE
6884,delonix,Delonix,spp.,,,DELON
6885,salato,Dendrocnide,harveyi,,,DEHA5
6886,kahtat,Dendrocnide,latifolia,,,DELA13
6887,Dendrocnide,Dendrocnide,spp.,,,DENDR16
6888,angelica tree,Dendropanax,arboreus,,,DEAR
6889,palo de vaca,Dendropanax,laurifolius,,,DELA3
6891,redpalm,Dictyosperma,album,,,DIAL13
6896,chulta,Dillenia,indica,,,DIIN6
6898,shrubby dillenia,Dillenia,suffruticosa,,,DISU11
6899,Dimocarpus longan,Dimocarpus,longan,,,DILO7
6900,mabolo,Diospyros,blancoi,,,DIBL3
6902,Mabolo,Diospyros,discolor,,,DIDI9
6903,Black sapote,Diospyros,ebenaster,,,DIEB
6904,anume,Diospyros,elliptica,,,DIEL3
6905,Diospyros ferrea,Diospyros,ferrea,,,DIFE5
6906,elama,Diospyros,hillebrandii,,,DIHI4
6907,persimmon,Diospyros,kaki,,,DIKA2
6909,black apple,Diospyros,revoluta,,,DIRE6
6910,auauli,Diospyros,samoensis,,,DISA16
6911,lama,Diospyros,sandwicensis,,,DISA10
6912,Chinese persimmon,Diospyros,sintenisii,,,DISI3
520,persimmon spp.,Diospyros,spp.,,,DIOSP
522,Texas persimmon,Diospyros,texana,,,DITE3
521,common persimmon,Diospyros,virginiana,,,DIVI5
6921,otot,Discocalyx,ponapensis,,,DIPO
6923,jaboncillo,Ditta,myricoides,,,DIMY
6927,Florida hopbush,Dodonaea,viscosa,,,DOVI
6928,rru,Dolichandrone,spathacea,,,DOSP3
6930,Ceylon gooseberry,Dovyalis,hebecarpa,,,DOHE2
6932,fragrant dracaena,Dracaena,fragrans,,,DRFR2
6933,Dracaena multiflora,Dracaena,multiflora,,,DRMU2
6934,song of India,Dracaena,reflexa,,,DRRE6
6937,cafeillo,Drypetes,alba,,,DRAL5
6938,varital,Drypetes,glauca,,,DRGL2
6939,rosewood,Drypetes,ilicifolia,,,DRIL
6940,guiana plum,Drypetes,lateriflora,,,DRLA3
6941,kevert,Drypetes,nitida,,,DRNI3
6942,Drypetes,Drypetes,spp.,,,DRYPE
6943,none,Drypetes,vitiensis,,,DRVI5
6947,Mauna Kea dubautia,Dubautia,arborea,,,DUAR
6944,Dubautia,Dubautia,demissifolia,,,DUDE
6945,Dubautia,Dubautia,fallax,,,DUFA2
6948,forest dubautia,Dubautia,knudsenii,,,DUKN
6952,Kauai dubautia,Dubautia,microcephala,,,DUMI
6946,Dubautia,Dubautia,montana,,,DUMO2
6953,plantainleaf dubautia,Dubautia,plantaginea,,,DUPL
6957,netvein dubautia,Dubautia,reticulata,,,DURE2
6958,dubautia,Dubautia,spp.,,,DUBAU
6961,golden dewdrops,Duranta,erecta,,,DUER
6965,Durian,Durio,zibethinus,,,DUZI
6966,Dypsis lutescens,Dypsis,lutescens,,,DYLU
6968,maota mea,Dysoxylum,huntii,,,DYHU2
6969,maota,Dysoxylum,maota,,,DYMA
6970,mamala,Dysoxylum,samoense,,,DYSA
6971,Dysoxylum,Dysoxylum,spp.,,,DYSOX
868,Blackbead ebony,Ebenopsis,ebano,,,EBEB
523,Anacua knockaway,Ehretia,anacua,,,EHAN
997,Russian-olive,Elaeagnus,angustifolia,,,ELAN
6973,oil nut palm,Elaeis,guineensis,,,ELGU
6975,kalia,Elaeocarpus,bifidus,,,ELBI
6976,syatak,Elaeocarpus,carolinensis,,,ELCA20
6977,`a`mati`e,Elaeocarpus,floridanus,,,ELFL6
6978,Elaeocarpus graeffei,Elaeocarpus,graeffei,,,ELGR
6979,sapatua,Elaeocarpus,grandis,,,ELGR6
6980,joga,Elaeocarpus,joga,,,ELJO
6974,Kosrae elaeocarpus,Elaeocarpus,Kaneh,,,ELKU2
6981,Elaeocarpus kerstingianus,Elaeocarpus,kerstingianus,,,ELKE
6982,"maratte, opop",Elaeocarpus,kusanoi,,,ELKU
6983,Elaeocarpus,Elaeocarpus,spp.,,,ELAEO
6984,aamatie,Elaeocarpus,tonganus,,,ELTO4
6985,Elaeocarpus,Elaeocarpus,ulianus,,,ELUL
6990,taputoi,Elattostachys,falcata,,,ELFA3
6992,utuutu,Eleocharis,dulcis,,,ELDU3
6994,elaeocarpa,Endiandra,elaeocarpa,,,ENEL
6996,monkeysoap,Enterolobium,cyclocarpum,,,ENCY
6998,loquat,Eriobotrya,japonica,,,ERJA3
6999,loquat,Eriobotrya,spp.,,,ERIOB
7000,blacktorch,Erithalis,fruticosa,,,ERFR4
7004,machete,Erythrina,berteriana,,,ERBE3
7005,coral erythrina,Erythrina,corallodendron,,,ERCO22
7006,crybabytree,Erythrina,crista-galli,,,ERCR6
7007,cock's spur,Erythrina,eggersii,,,EREG
7008,bucayo,Erythrina,fusca,,,ERFU2
7011,mountain immortelle,Erythrina,poeppigiana,,,ERPO5
7012,wili wili,Erythrina,sandwicensis,,,ERSA11
7013,erythrina,Erythrina,spp.,,,ERYTH
7014,gatae palagi,Erythrina,subumbrans,,,ERSU15
7015,tiger's claw,Erythrina,variegata,,,ERVA7
7016,tiger's claw,Erythrina,variegata,orientalis,,ERVAO
7017,acuminatissimum,Erythrospermum,acuminatissimum,,,ERAC10
7019,swamp-redwood,Erythroxylum,areolatum,,,ERAR17
7021,ratwood,Erythroxylum,rotundifolium,,,ERRO3
7022,rufous false cocaine,Erythroxylum,rufum,,,ERRU4
7024,Urban's false cocaine,Erythroxylum,urbanii,,,ERUR4
7025,southern mahogany,Eucalyptus,botryoides,,,EUBO2
7026,applebox,Eucalyptus,bridgesiana,,,EUBR2
512,river redgum,Eucalyptus,camaldulensis,,,EUCA2
7028,argyle apple,Eucalyptus,cinerea,,,EUCI80
7030,sugargum,Eucalyptus,cladocalyx,,,EUCL
7031,yate,Eucalyptus,cornuta,,,EUCO3
7032,narrowleaf red ironbark,Eucalyptus,crebra,,,EUCR
7033,roundleaf gum,Eucalyptus,deanei,,,EUDE
7034,Indonesian gum,Eucalyptus,deglupta,,,EUDE2
511,Tasmanian bluegum,Eucalyptus,globulus,,,EUGL
7038,tuart,Eucalyptus,gomphocephala,,,EUGO
7039,mountain graygum,Eucalyptus,goniocalyx,,,EUGO2
513,grand eucalyptus,Eucalyptus,grandis,,,EUGR12
7041,white box,Eucalyptus,hemiphloia,,,EUHE12
7043,spotted gum,Eucalyptus,maculata,,,EUMA23
7044,jarrah,Eucalyptus,marginata,,,EUMA4
7045,Australian tallowwood,Eucalyptus,microcorys,,,EUMI
7046,gray ironbark,Eucalyptus,paniculata,,,EUPA
7047,blackbutt,Eucalyptus,pilularis,,,EUPI
7048,black ironbox,Eucalyptus,raveretiana,,,EURA4
7049,redmahogany,Eucalyptus,resinifera,,,EURE2
514,swampmahogany,Eucalyptus,robusta,,,EURO2
7051,Western Australian floodedgum,Eucalyptus,rudis,,,EURU2
7052,black peppermint,Eucalyptus,salicifolia,,,EUSA17
7053,Sydney bluegum,Eucalyptus,saligna,,,EUSA
7054,red ironbark,Eucalyptus,sideroxylon,,,EUSI2
510,eucalyptus spp.,Eucalyptus,spp.,,,EUCAL
7056,forest redgum,Eucalyptus,tereticornis,,,EUTE
7057,manna gum,Eucalyptus,viminalis,,,EUVI
7059,"edebsachel, chedebsachel",Eugenia,aquea,,,EUAQ
7060,white stopper,Eugenia,axillaris,,,EUAX
7061,blackrodwood,Eugenia,biflora,,,EUBI
7062,Sierra de Cayey stopper,Eugenia,boqueronensis,,,EUBO3
7063,guayabota de sierra,Eugenia,borinquensis,,,EUBO4
7065,cloves,Eugenia,caryophyllus,,,EUCA16
7066,redberry stopper,Eugenia,confusa,,,EUCO4
7067,lathberry,Eugenia,cordata,,,EUCO5
7068,lathberry,Eugenia,cordata,sintenisii,,EUCOS
7069,sperry guava,Eugenia,corozalensis,,,EUCO13
7071,serrette guave,Eugenia,domingensis,,,EUDO
7072,guasabara,Eugenia,eggersii,,,EUEG
7075,smooth rodwood,Eugenia,glabrata,,,EUGL6
7076,Luquillo Mountain stopper,Eugenia,haematocarpa,,,EUHA4
7078,"macupa, wax apple",Eugenia,javanica,,,EUJA4
7079,nioi,Eugenia,koolauensis,,,EUKO
7081,privet stopper,Eugenia,ligustrina,,,EULI
7082,"makupa, malay apple",Eugenia,malaccensis,,,EUMA5
7084,birdcherry,Eugenia,monticola,,,EUMO
7086,Eugenia nitida,Eugenia,nitida,,,EUNI2
7087,orenged,Eugenia,palauensis,,,EUPA3
7088,agatelang,Eugenia,palumbis,,,EUPA28
7089,rockmyrtle,Eugenia,procera,,,EUPR4
7090,Christmas cherry,Eugenia,pseudopsidium,,,EUPS
7091,mountain stopper,Eugenia,reinwardtiana,,,EURE7
873,red stopper,Eugenia,rhombea,,,EURH
7093,serrasuela,Eugenia,serrasuela,,,EUSE9
7094,sessileleaf stopper,Eugenia,sessiliflora,,,EUSE10
7096,stopper,Eugenia,spp.,,,EUGEN
7098,Stahl's stopper,Eugenia,stahlii,,,EUST3
7099,luluhut,Eugenia,stelechantha,,,EUST24
7100,Stewardson's stopper,Eugenia,stewardsonii,,,EUST6
7101,rebotel,Eugenia,suzukii,,,EUSU9
7102,atoto,Eugenia,thompsonii,,,EUTH4
7103,Underwood's stopper,Eugenia,underwoodii,,,EUUN
7104,Surinam cherry,Eugenia,uniflora,,,EUUN2
7105,aridland stopper,Eugenia,xerophytica,,,EUXE
7123,Euodia hortensis,Euodia,hortensis,,,EUHO5
7124,kertub,Euodia,nitida,,,EUNI8
7125,beror,Euodia,palawensis,,,EUPA29
7126,Euodia ponapensis,Euodia,ponapensis,,,EUPO15
7127,Euodia,Euodia,spp.,,,EUODI
7128,Euodia trichantha,Euodia,trichantha,,,EUTR13
5965,burningbush,Euonymus,alatus,,,EUAL13
7109,Mexican shrubby spurge,Euphorbia,cotinifolia,,,EUCO24
7110,Kauai spurge,Euphorbia,haeleeleana,,,EUHA2
7111,mottled spurge,Euphorbia,lactea,,,EULA8
7112,Indian spurgetree,Euphorbia,neriifolia,,,EUNE4
7113,manchineel berry,Euphorbia,petiolaris,,,EUPE8
7114,poinsettia,Euphorbia,pulcherrima,,,EUPU9
7115,spurge,Euphorbia,spp.,,,EUPHO
7116,Indiantree spurge,Euphorbia,tirucalli,,,EUTI
7117,Longan,Euphoria,longana,,,EULO7
7119,anini,Eurya,sandwicensis,,,EUSA6
7120,eurya,Eurya,spp.,,,EURYA
7129,blinding tree,Excoecaria,agallocha,,,EXAG
7131,hulumoa,Exocarpos,gaudichaudii,,,EXGA
7132,exocarpos,Exocarpos,spp.,,,EXOCA
7133,kotop,Exorrhiza,ponapensis,,,EXPO2
7135,Caribbean princewood,Exostema,caribaeum,,,EXCA
7136,plateado,Exostema,ellipticum,,,EXEL
7137,Exostema sanctae-luciae,Exostema,sanctae-luciae,,,EXSA2
874,"butterbough, inkwood",Exothea,paniculata,,,EXPA
7141,pualulu,Fagraea,berteroana,,,FABE
7142,ksid,Fagraea,ksid,,,FAKS
7143,Fagraea,Fagraea,spp.,,,FAGRA
531,American beech,Fagus,grandifolia,,,FAGR
5983,European beech,Fagus,sylvatica,,,FASY
7144,peacocksplume,Falcataria,moluccana,,,FAMO
7145,peacocksplume,Falcataria,spp.,,,FALCA2
915,other palms,Family Arecaceae,not listed above,,,ARECA
7146,false coffee,Faramea,occidentalis,,,FAOC
7148,Jamaican cherry fig,Ficus,americana,,,FIAM
876,Florida strangler fig,Ficus,aurea,,,FIAU
7149,Indian banyan,Ficus,benghalensis,,,FIBE2
7150,weeping fig,Ficus,benjamina,,,FIBE
7151,edible fig,Ficus,carica,,,FICA
877,"wild banyantree, shortleaf fig",Ficus,citrifolia,,,FICI
7152,Ficus copiosa,Ficus,copiosa,,,FICO2
7154,brown-woolly fig,Ficus,drupacea,,,FIDR3
7155,Indian rubberplant,Ficus,elastica,,,FIEL
7156,mati,Ficus,godeffroyi,,,FIGO
7158,Ficus lutea,Ficus,lutea,,,FILU
7159,fiddleleaf fig,Ficus,lyrata,,,FILY
7160,Chinese banyan,Ficus,microcarpa,,,FIMI2
7162,tibig,Ficus,nota,,,FINO3
7163,aoa,Ficus,obliqua,,,FIOB3
7164,amate,Ficus,obtusifolia,,,FIOB
7165,aoa,Ficus,prolixa,,,FIPR2
7166,peepul tree,Ficus,religiosa,,,FIRE3
7167,Port Jackson fig,Ficus,rubiginosa,,,FIRU4
7168,"lulk, banyan",Ficus,saffordii,,,FISA
7169,mati vao,Ficus,scabra,,,FISC3
7171,fig,Ficus,spp.,,,FICUS
7173,jaguey,Ficus,stahlii,,,FIST
7174,sycamore fig,Ficus,sycomorus,,,FISY2
7175,Chinese banyan,Ficus,thonningii,,,FITH2
7176,mati,Ficus,tinctoria,,,FITI2
7177,jaguey blanco,Ficus,trigonata,,,FITR
7178,mati,Ficus,uniauriculata,,,FIUN
7179,higo,Ficus,virens,,,FIVI3
7180,Finschia chloroxantha,Finschia,chloroxantha,,,FICH
7181,Chinese parasoltree,Firmiana,simplex,,,FISI2
7182,burrdaisytree,Fitchia,speciosa,,,FISP3
7184,governor's plum,Flacourtia,indica,,,FLIN
7185,batoko plum,Flacourtia,inermis,,,FLIN3
7186,filimoto,Flacourtia,rukam,,,FLRU2
7188,Queensland maple,Flindersia,brayleyana,,,FLBR
7190,Flueggea acidoton,Flueggea,acidoton,,,FLAC
7191,poumuli,Flueggea,flexuosa,,,FLFL4
7192,mehamehame,Flueggea,neowawraea,,,FLNE
7193,bushweed,Flueggea,spp.,,,FLUEG
7194,inkbush,Forestiera,eggersiana,,,FOEG
7195,caca ravet,Forestiera,rhamnifolia,,,FORH
7196,Florida swampprivet,Forestiera,segregata,,,FOSE
7198,oval kumquat,Fortunella,margarita,,,FOMA2
7200,California buckthorn,Frangula,californica,,,FRCA12
7202,West Indian buckthorn,Frangula,sphaerosperma,,,FRSPL
7203,Franklin tree,Franklinia,alatamaha,,,FRAL
541,white ash,Fraxinus,americana,,,FRAM2
5491,Berlandier ash,Fraxinus,berlandieriana,,,FRBE
548,Carolina ash,Fraxinus,caroliniana,,,FRCA3
5492,European ash,Fraxinus,excelsior,,,FREX80
542,Oregon ash,Fraxinus,latifolia,,,FRLA
543,black ash,Fraxinus,nigra,,,FRNI
5493,Caucasian ash,Fraxinus,oxycarpa,,,FROX
544,green ash,Fraxinus,pennsylvanica,,,FRPE
545,pumpkin ash,Fraxinus,profunda,,,FRPR
546,blue ash,Fraxinus,quadrangulata,,,FRQU
540,ash spp.,Fraxinus,spp.,,,FRAXI
549,Texas ash,Fraxinus,texensis,,,FRTE
7206,shamel ash,Fraxinus,uhdei,,,FRUH
547,velvet ash,Fraxinus,velutina,,,FRVE2
7207,Bolivian fuchsia,Fuchsia,boliviana,,,FUBO
7208,shrubby fuchsia,Fuchsia,paniculata,,,FUPA2
7209,fuchsia,Fuchsia,spp.,,,FUCHS
7210,silkrubber,Funtumia,elastica,,,FUEL
7212,Gourka,Garcinia,dulcis,,,GADU3
7213,lemon saptree,Garcinia,hessii,,,GAHE5
7214,mangosteen,Garcinia,mangostana,,,GAMA10
7215,tilol,Garcinia,matsudai,,,GAMA8
7216,none,Garcinia,myrtifolia,,,GAMY
7217,konpuil,Garcinia,ponapensis,,,GAPO4
7218,palo de cruz,Garcinia,portoricensis,,,GAPO2
7219,tilol,Garcinia,rumiyo,,,GARU3
7221,Garcinia,Garcinia,spp.,,,GARCI
7223,Garcinia xanthochymus,Garcinia,xanthochymus,,,GAXA
7224,forest gardenia,Gardenia,brighamii,,,GABR
7225,Oahu gardenia,Gardenia,mannii,,,GAMA6
7226,Remys gardenia,Gardenia,remyi,,,GARE
7227,gardenia,Gardenia,spp.,,,GARDE
7228,Tahitian gardenia,Gardenia,taitensis,,,GATA
7229,manuai vivao,Garuga,floribunda,,,GAFL8
7231,llume,Gaussia,attenuata,,,GAAT
7233,taipoipo,Geniostoma,rupestre,,,GERU3
7235,jagua,Genipa,americana,,,GEAM
7237,arbol de Navidad,Gesneria,pedunculosa,,,GEPE4
561,"ginkgo, maidenhair tree",Ginkgo,biloba,,,GIBI2
7239,bastard gregre,Ginoria,rohrii,,,GIRO
7241,Gironniera celtidifolia,Gironniera,celtidifolia,,,GICE2
551,waterlocust,Gleditsia,aquatica,,,GLAQ
550,honeylocust spp.,Gleditsia,spp.,,,GLEDI
552,honeylocust,Gleditsia,triacanthos,,,GLTR
7245,quickstick,Gliricidia,sepium,,,GLSE2
7247,masame,Glochidion,cuspidatum,,,GLCU
7257,Glochidion kanehirae,Glochidion,kanehirae,,,GLKA
7248,Glochidion marianum,Glochidion,marianum,,,GLMA9
7249,masame,Glochidion,ramiflorum,,,GLRA4
7250,Glochidion,Glochidion,spp.,,,GLOCH
7255,flower axistree,Glycosmis,parviflora,,,GLPA4
7251,belau,Gmelina,elliptica,,,GMEL
7252,blacheos,Gmelina,palawensis,,,GMPA
7253,Gmelina,Gmelina,spp.,,,GMELI
7254,Gnetum gnemon,Gnetum,gnemon,,,GNGN
7256,mata buey,Goetzea,elegans,,,GOEL
7258,grand merisier,Gomidesia,lindeniana,,,GOLI
7260,Goniothalamus carolinensis,Goniothalamus,carolinensis,,,GOCA2
555,loblolly-bay,Gordonia,lasianthus,,,GOLA
7262,Creole cotton,Gossypium,barbadense,,,GOBA
7264,Gossypium hirsutum,Gossypium,hirsutum,,,GOHIH2
7268,Graffenrieda ottoschulzii,Graffenrieda,ottoschulzii,,,GROT
7272,kahiliflower,Grevillea,banksii,,,GRBA
7273,silkoak,Grevillea,robusta,,,GRRO
7274,grevillea,Grevillea,spp.,,,GREVI
7275,fau ui,Grewia,crenata,,,GRCR4
7279,lignum-vitae,Guaiacum,officinale,,,GUOF
7280,holywood,Guaiacum,sanctum,,,GUSA
7282,paipai,Guamia,mariannae,,,GUMA4
882,"beeftree, longleaf blolly",Guapira,discolor,,,GUDI
7285,black mampoo,Guapira,fragrans,,,GUFR
7286,corcho prieto,Guapira,obtusata,,,GUOB
7288,alligatorwood,Guarea,glabra,,,GUGL3
7290,American muskwood,Guarea,guidonia,,,GUGU
7294,haya minga,Guatteria,blainii,,,GUBL
7295,haya blanca,Guatteria,caribaea,,,GUCA2
7298,bastardcedar,Guazuma,ulmifolia,,,GUUL
7299,hammock velvetseed,Guettarda,elliptica,,,GUEL
7300,frogwood,Guettarda,krugii,,,GUKR
7302,cucubano de vieques,Guettarda,odorata,,,GUOD
7303,cucubano,Guettarda,ovalifolia,,,GUOV
7305,roseta,Guettarda,pungens,,,GUPU
7306,wild guave,Guettarda,scabra,,,GUSC
7307,puapua,Guettarda,speciosa,,,GUSP3
7309,cucubano de monte,Guettarda,valenzuelana,,,GUVA
7311,rhoifolia,Guioa,rhoifolia,,,GURH
7312,Guioa,Guioa,spp.,,,GUIOA
7313,"bochela uchererak, uch",Gulubia,palauensis,,,GUPA
7315,West Indian false box,Gyminda,latifolia,,,GYLA
7317,oysterwood,Gymnanthes,lucida,,,GYLU
571,Kentucky coffeetree,Gymnocladus,dioicus,,,GYDI
7319,vilivili,Gyrocarpus,americanus,,,GYAM2
7321,bloodwoodtree,Haematoxylum,campechianum,,,HACA2
7327,palo de hueso,Haenianthus,salicifolius,,,HASAO
581,Carolina silverbell,Halesia,carolina,,,HACA3
582,two-wing silverbell,Halesia,diptera,,,HADI3
583,little silverbell,Halesia,parviflora,,,HAPA2
580,silverbell spp.,Halesia,spp.,,,HALES
7328,mountain silverbell,Halesia,tetraptera,,,HATE3
7329,Ozark witchhazel,Hamamelis,vernalis,,,HAVE2
7331,American witchhazel,Hamamelis,virginiana,,,HAVI4
7330,scarletbush,Hamelia,patens,,,HAPA3
7332,Haplolobus floribundus,Haplolobus,floribundus,,,HAFL
7334,fa`aili,Harpullia,arborea,,,HAAR4
7335,haujillo,Havardia,pallens,,,HAPA10
7336,false locust,Hebestigma,cubense,,,HECU10
7338,denticulata,Hedycarya,denticulata,,,HEDE14
7340,Hedycarya,Hedycarya,spp.,,,HEDYC2
7341,cigarbush,Hedyosmum,arborescens,,,HEAR
7343,Fosbergs starviolet,Hedyotis,fosbergii,,,HEFO5
7344,manono,Hedyotis,hillebrandii,,,HEHI8
7345,starviolet,Hedyotis,spp.,,,HEDYO2
7346,variable starviolet,Hedyotis,terminalis,,,HETE21
7347,screwtree,Helicteres,jamaicensis,,,HEJA
7349,white moho,Heliocarpus,popayanensis,,,HEPO4
7350,heliocarpus,Heliocarpus,spp.,,,HELIO
7353,camasey peludo,Henriettea,fascicularis,,,HEFA5
7354,MacFadyen's camasey,Henriettea,macfadyenii,,,HEMA11
7355,thinleaf camasey,Henriettea,membranifolia,,,HEME5
7357,jusillo,Henriettea,squamulosum,,,HESQ
7359,ufa,Heritiera,littoralis,,,HELI9
7360,ufa halemtano,Heritiera,longipetiolata,,,HELO12
7362,Heritiera,Heritiera,spp.,,,HERIT2
7368,Hernandia labyrinthica,Hernandia,labyrinthica,,,HELA27
7363,pipi,Hernandia,moerenhoutiana,,,HEMO13
7364,"pua, Chinese lantern tree",Hernandia,nymphaeifolia,,,HENY
7365,Hernandia ovigera,Hernandia,ovigera,,,HEOV4
7366,mago,Hernandia,sonora,,,HESO
7367,Hernandia,Hernandia,spp.,,,HERNA
7370,Lanai island-aster,Hesperomannia,arborescens,,,HEAR9
7371,Maui island-aster,Hesperomannia,arbuscula,,,HEAR10
7372,Kauai island-aster,Hesperomannia,lydgatei,,,HELY
7373,island-aster,Hesperomannia,spp.,,,HESPE8
7374,toyon,Heteromeles,arbutifolia,,,HEAR5
7376,toyon,Heteromeles,spp.,,,HETER5
7377,palma brava,Heterospathe,elata,,,HEEL9
7381,para rubber tree,Hevea,brasiliensis,,,HEBR8
7384,hau kuahiwi,Hibiscadelphus,bombycinus,,,HIBO2
7385,lava hau kuahiwi,Hibiscadelphus,crucibracteatus,,,HICR
7386,Kauai hau kuahiwi,Hibiscadelphus,distans,,,HIDI
7387,Kilauea hau kuahiwi,Hibiscadelphus,giffardianus,,,HIGI
7388,Hualalai hau kuahiwi,Hibiscadelphus,hualalaiensis,,,HIHU
7389,hau kuahiwi,Hibiscadelphus,puakuahiwi,,,HIPU2
7390,hibiscadelphus,Hibiscadelphus,spp.,,,HIBIS
7391,Maui hau kuahiwi,Hibiscadelphus,wilderianus,,,HIWI
7392,Woods hau kuahiwi,Hibiscadelphus,woodii,,,HIWO
7393,white rosemallow,Hibiscus,arnottianus,,,HIAR
7397,Brackenridges rosemallow,Hibiscus,brackenridgei,,,HIBR
7401,lemonyellow rosemallow,Hibiscus,calyphyllus,,,HICA6
7402,red Kauai rosemallow,Hibiscus,clayi,,,HICL
7403,mahoe,Hibiscus,elatus,,,HIEL
7404,red rosemallow,Hibiscus,kokio,,,HIKO
7407,largeleaf rosemallow,Hibiscus,macrophyllus,,,HIMA5
7408,Dixie rosemallow,Hibiscus,mutabilis,,,HIMU3
7409,seaside mahoe,Hibiscus,pernambucensis,,,HIPE3
7410,shoeblackplant,Hibiscus,rosa-sinensis,,,HIRO3
7411,rosemallow,Hibiscus,spp.,,,HIBIS2
7412,sea hibiscus,Hibiscus,tiliaceus,,,HITI
7413,white Kauai rosemallow,Hibiscus,waimeae,,,HIWA
883,manchineel,Hippomane,mancinella,,,HIMA2
7418,teta de burra cinarron,Hirtella,rugosa,,,HIRU2
7420,pigeonberry,Hirtella,triandra,,,HITR3
8008,fanuamamala,Homalanthus,acuminatus,,,HOAC4
8009,fanuamamala,Homalanthus,nutans,,,HONU3
8010,Homalanthus,Homalanthus,spp.,,,HOMAL6
7422,white cogwood,Homalium,racemosum,,,HORA
7424,Homalium whitmeeanum,Homalium,whitmeeanum,,,HOWH
7427,"chemeklachel, eumail",Horsfieldia,amklaal,,,HOAM2
7428,ersachel,Horsfieldia,novoguineensis,,,HONO2
7429,Horsfieldia nunu,Horsfieldia,nunu,,,HONU2
7430,chersachel,Horsfieldia,palauensis,,,HOPA10
7431,Horsfieldia,Horsfieldia,spp.,,,HORSF2
7432,Japanese raisintree,Hovenia,dulcis,,,HODU2
7434,sandbox tree,Hura,crepitans,,,HUCR
7438,cedro macho,Hyeronima,clusioides,,,HYCL
7440,nightblooming cactus,Hylocereus,spp.,,,HYLOC
7441,nightblooming cactus,Hylocereus,undatus,,,HYUN3
7442,stinkingtoe,Hymenaea,courbaril,,,HYCO
7445,inkwood,Hypelate,trifoliata,,,HYTR
7446,limestone snakevine,Hyperbaena,laurifolia,,,HYLA8
7448,Canary Island St. Johnswort,Hypericum,canariense,,,HYCA11
7453,Hawaii holly,Ilex,anomala,,,ILAN
7454,English holly,Ilex,aquifolium,,,ILAQ80
7455,dahoon,Ilex,cassine,,,ILCA
7456,te,Ilex,cookii,,,ILCO3
7457,maconcona,Ilex,guianensis,,,ILGU
7458,Caribbean holly,Ilex,macfadyenii,,,ILMA
6438,catberry,Ilex,mucronata,,,ILMU
7459,Puerto Rico holly,Ilex,nitida,,,ILNI
591,American holly,Ilex,opaca,,,ILOP
7460,mate,Ilex,paraguariensis,,,ILPA3
7462,gongolin,Ilex,sideroxyloides,,,ILSI
7463,Sintenis' holly,Ilex,sintenisii,,,ILSI2
